Obs.	statenum	casenum	vnumber	pnumber	atmcond	atmcond2	city	county	acchr	accmon	dayofweek	lightcond	intersectiontype	injury	
160	25	78	1	1	1	0	121	1	20	7	5	1	1	4	
161	25	78	2	1	1	0	121	1	20	7	5	1	1	4	
162	25	78	2	2	1	0	121	1	20	7	5	1	1	2	
163	25	78	2	3	1	0	121	1	20	7	5	1	1	2	
164	25	78	2	4	1	0	121	1	20	7	5	1	1	3	
165	25	78	2	5	1	0	121	1	20	7	5	1	1	3	
166	25	78	2	6	1	0	121	1	20	7	5	1	1	3	
167	25	78	3	1	1	0	121	1	20	7	5	1	1	9	
168	25	79	1	1	1	0	1280	5	20	7	7	5	1	4	
169	25	79	1	2	1	0	1280	5	20	7	7	5	1	3	
170	25	80	1	1	1	0	450	11	3	7	1	2	1	4	
171	25	80	1	2	1	0	450	11	3	7	1	2	1	4	
172	25	81	1	1	1	0	1400	23	10	6	7	1	1	4	
173	25	81	2	1	1	0	1400	23	10	6	7	1	1	0	
174	25	82	0	1	1	0	1085	23	6	1	4	4	1	4	
175	25	82	1	1	1	0	1085	23	6	1	4	4	1	0	
176	25	82	1	2	1	0	1085	23	6	1	4	4	1	0	
177	25	83	1	1	10	0	1320	27	15	1	6	1	1	4	
178	25	83	2	1	10	0	1320	27	15	1	6	1	1	3	
179	25	84	0	1	10	5	1430	13	11	1	1	1	3	4	
180	25	84	1	1	10	5	1430	13	11	1	1	1	3	0	
181	25	85	1	1	10	0	122	9	10	2	2	1	4	4	
182	25	86	0	1	1	0	1282	17	18	2	3	2	3	4	
183	25	86	1	1	1	0	1282	17	18	2	3	2	3	2	
184	25	87	0	1	1	0	120	25	17	1	4	2	1	4	
185	25	87	1	1	1	0	120	25	17	1	4	2	1	9	
186	25	88	0	1	2	0	120	25	19	2	4	3	3	4	
187	25	88	1	1	2	0	120	25	19	2	4	3	3	0	
188	25	89	0	1	1	0	1380	27	23	1	3	2	1	4	
189	25	89	1	1	1	0	1380	27	23	1	3	2	1	0	
190	25	90	1	1	10	0	36	17	7	2	6	1	1	4	
191	25	90	2	1	10	0	36	17	7	2	6	1	1	3	
192	25	91	1	1	98	0	120	25	21	3	4	6	3	9	
193	25	91	2	1	98	0	120	25	21	3	4	6	3	4	
194	25	92	1	1	1	0	1013	27	10	4	7	1	3	3	
195	25	92	1	2	1	0	1013	27	10	4	7	1	3	4	
196	25	92	2	1	1	0	1013	27	10	4	7	1	3	3	
197	25	92	2	2	1	0	1013	27	10	4	7	1	3	2	
